Object,Distance,Velocity,Visual Magnitude,Absolute Magnitude,Solar Velocity
N. G. C. 278,1.52,650,12,-13.9,-110
584,3.45,1800,10.9,16.8,75
936,2.37,1300,11.1,15.7,115
1023,0.62,300,10.2,13.8,-10
1700,1.16,800,12.5,12.8,220
2681,1.42,700,10.7,15,-10
2683,0.67,400,9.9,14.3,65
2841,1.24,600,9.4,16.1,-20
3034,0.79,290,9,15.5,-105
3115,1,600,9.5,15.5,105
3368,1.74,940,10,16.2,70
3379,1.49,810,9.4,16.4,65
3489,1.1,600,11.2,14,50
3521,1.27,730,10.1,15.4,95
3623,1.53,800,9.9,16,35
4111,1.79,800,10.1,16.1,-95
4526,1.2,580,11.1,14.3,-20
4565,2.35,1100,11,15.9,-75
4594,2.23,1140,9.1,17.6,25
5005,2.06,900,11.1,15.5,-130
5866,1.73,650,11.7,-14.5,-215
